Year;Age Groups;Anxiety disorders(a);Affective disorders;Substance Use disorders;Any 12-month mental disorder(a)(c);Total with Mental Health Disorder;No 12-month Mental Health disorder;Total ;Percentage of Population with Mental Health Disorder %
2007;16–24;367,0;161,4;323,5;657,1;1.509,0;1.888,3;3.397,3;7.53
2007;25–34;447,9;220,9;206,4;688,4;1.563,6;2.123,4;3.687,0;7.80
2007;35–44;536,1;255,2;139,7;697,6;1.628,6;2.372,7;4.001,3;8.13
2007;45–54;486,6;202,1;108,4;597,0;1.394,1;2.261,6;3.655,7;6.96
2007;55–64;245,3;98,4;*25,5;308,7;677,9;2.015,1;2.693,0;3.38
2007;65–74;86,1;40,4;*8,6;119,2;254,3;1.315,1;1.569,4;1.27
2007;75–85;38,6;*17,5;*7,7;57,7;121,5;913,5;1.035,0;0.61
2020 - 2022;16–24;863,6;365,4;211,8;1.052,7;2.493,5;1.651,5;2.712,5;12.57
2020 - 2022;25–34;795,1;352,4;148,3;954,3;2.250,1;2.676,5;3.632,0;11.35
2020 - 2022;35–44;552,3;238,3;122,9;710,0;1.623,5;2.793,5;3.500,9;8.19
2020 - 2022;45–54;498,5;203,4;88,0;650,5;1.440,4;2.568,2;3.217,3;7.26
2020 - 2022;55–64;425,6;200,1;40,1;531,8;1.197,6;2.447,4;2.971,6;6.04
2020 - 2022;65–74;214,2;111,3;29,1;284,4;639,0;2.107,7;2.391,2;3.22
2020 - 2022;75–85;66,0;*17,0;**3,0;76,1;162,1;1.327,6;1.402,9;0.82
;;;;;;;;;
