AgeGroup;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24
0–4 years;23,630;25,531;26,848;26,583;26,040;24,650;22,201;21,827;23,762;25,627
5–11 years;245,032;274,696;284,428;305,871;301,951;293,873;267,868;236,072;252,919;285,945
12–17 years;914,107;949,624;993,592;1,142,221;1,154,330;1,218,314;1,383,426;1,329,247;1,316,306;1,342,991
18–24 years;1,019,355;1,096,358;1,081,614;1,198,555;1,238,864;1,287,394;1,347,704;1,232,790;1,189,771;1,168,658
25–34 years;1,705,317;1,826,024;1,685,720;1,720,089;1,769,705;1,861,519;1,914,015;1,760,870;1,784,120;1,809,005
35–44 years;1,789,360;1,920,032;1,749,611;1,767,306;1,788,943;1,813,893;1,789,069;1,663,895;1,693,996;1,680,624
45–54 years;1,279,935;1,407,262;1,317,143;1,382,035;1,417,633;1,455,174;1,446,057;1,366,997;1,422,770;1,436,744
55–64 years;725,394;793,106;770,608;826,230;844,045;867,240;866,196;838,285;881,738;904,864
65–74 years;423,566;437,201;423,900;479,803;502,110;527,193;538,654;517,912;531,688;544,154
75–84 years;232,496;246,034;236,048;265,872;257,131;281,216;283,204;280,697;297,591;315,338
85+ years;96,934;98,682;90,446;93,933;93,278;100,905;98,209;92,010;90,508;93,835

